dataset\model,test-clean_acc,test-clean-db-160_acc,test-clean-db-80_acc,test-clean-db-40_acc,test-clean-db-20_acc,test-clean-db-10_acc,test-clean-db-5_acc,test-clean-db0_acc,test-clean-db5_acc
test-clean, 97.36, 97.91, 97.67, 89.03, 78.58, 76.67, 55.20, 67.48, 77.70
test-clean-db-160, 97.06, 97.88, 97.44, 88.88, 78.15, 75.70, 54.68, 68.40, 77.70
test-clean-db-80, 96.98, 97.85, 97.49, 89.54, 78.98, 76.79, 54.55, 69.14, 77.70
test-clean-db-40, 86.48, 90.15, 86.68, 96.55, 92.01, 84.57, 39.62, 72.42, 77.70
test-clean-db-20, 75.12, 77.16, 75.26, 76.82, 79.35, 65.76, 30.96, 58.76, 77.70
test-clean-db-10, 77.70, 77.70, 77.70, 77.70, 77.06, 64.28, 34.46, 50.43, 77.70
test-clean-db-5, 77.70, 77.70, 77.70, 77.70, 77.70, 77.70, 54.79, 76.33, 77.70
test-clean-db0, 77.70, 77.70, 77.70, 77.70, 77.70, 77.70, 77.52, 58.77, 75.88
test-clean-db5, 77.70, 77.70, 77.70, 77.70, 77.70, 77.70, 77.69, 32.48, 53.05
