dataset\model,test-clean_pnas,test-clean-db-160_pnas,test-clean-db-80_pnas,test-clean-db-40_pnas,test-clean-db-20_pnas,test-clean-db-10_pnas,test-clean-db-5_pnas,test-clean-db0_pnas,test-clean-db5_pnas
test-clean, 0.02, 0.01, 0.02, 0.00, 0.00, 0.08, 0.46, 0.12, 0.00
test-clean-db-160, 0.03, 0.02, 0.02, 0.00, 0.00, 0.08, 0.46, 0.10, 0.00
test-clean-db-80, 0.03, 0.02, 0.02, 0.00, 0.00, 0.08, 0.46, 0.10, 0.00
test-clean-db-40, 0.14, 0.10, 0.14, 0.03, 0.03, 0.15, 0.62, 0.18, 0.00
test-clean-db-20, 0.06, 0.01, 0.04, 0.04, 0.19, 0.34, 0.70, 0.34, 0.00
test-clean-db-10, 0.00, 0.00, 0.00, 0.00, 0.02, 0.28, 0.64, 0.43, 0.00
test-clean-db-5, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.37, 0.03, 0.00
test-clean-db0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.30, 0.03
test-clean-db5, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.66, 0.38
