dataset\model,test-clean_psas,test-clean-db-160_psas,test-clean-db-80_psas,test-clean-db-40_psas,test-clean-db-20_psas,test-clean-db-10_psas,test-clean-db-5_psas,test-clean-db0_psas,test-clean-db5_psas
test-clean, 0.77, 0.78, 0.77, 0.79, 0.79, 0.71, 0.33, 0.67, 0.79
test-clean-db-160, 0.76, 0.77, 0.77, 0.79, 0.79, 0.71, 0.33, 0.69, 0.79
test-clean-db-80, 0.76, 0.77, 0.77, 0.79, 0.79, 0.71, 0.33, 0.69, 0.79
test-clean-db-40, 0.65, 0.69, 0.65, 0.76, 0.76, 0.64, 0.17, 0.60, 0.79
test-clean-db-20, 0.73, 0.78, 0.75, 0.75, 0.60, 0.45, 0.09, 0.45, 0.79
test-clean-db-10, 0.79, 0.79, 0.79, 0.79, 0.77, 0.51, 0.15, 0.36, 0.79
test-clean-db-5, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.42, 0.76, 0.79
test-clean-db0, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.49, 0.76
test-clean-db5, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.13, 0.41
